,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
baseline_talk,3.851645915,2.5193397375,1.5988378816666666,1.6170242475000003,0.9823560975,0.8558751525,0.9851360275,1.0245946275,1.41888764,1.9160713950000001,2.3893916375,2.4082849725,2.9953139375,4.22619691
frontal1_memorization,2.4303956084745764,1.6624146099173551,1.1338250516666666,1.2090095083333332,0.6230360216666666,0.49187351166666665,0.6455990966666667,0.7559559662499999,0.8572676266666667,1.0696792516666669,1.5175829687499998,1.5702889683333334,1.834183925,2.5176086916666667
frontal1_recall,3.023619706666667,2.016691546583851,1.4392068099173554,1.2057012366666666,0.589279,0.5162197783333333,0.7565322512396694,0.8741328333333331,1.0681559636363638,1.14174604375,1.7889958133333335,1.952324375,2.0666383816666665,3.5524088837499996
frontal2_memorization,2.1936291975,1.3537341562500003,0.98569513125,1.027703956060606,0.5125947775,0.4933636475,0.64516076375,0.75203175625,0.84184733375,1.0896863212499999,1.4505205837500004,1.4404837474999996,1.5660132975,2.35303739875
frontal2_recall,2.857479523966942,1.9548754916666666,1.2465694266666667,1.1698646666666666,0.5395900628099174,0.49981198512396696,0.75320516,0.8685773900826448,0.9486172957264959,1.12975141,1.7400366550000004,1.8997833099999997,2.1573983316666667,3.047303131666667
frontal3_recall,5.202438385430463,3.0868563287499997,2.0605306857142858,2.0324787575,1.0052979087499998,0.9159299762499999,1.0587527300000001,1.24038546875,1.3287518000000003,1.79298592125,2.8395095075,2.7842915412499996,3.905090607499999,5.6344141425
frontal3_saying_outloud,2.5485171602484478,1.7787544225,1.163098535,1.1627014409937888,0.6050331625,0.5223144993788821,0.6777317825000001,0.839282925,0.92429318125,1.1952745775000002,1.7349559237499999,1.81049802,1.9287605537499999,2.6773981237499997
gyrus_coord,2.60979096,1.8706493574999996,1.4295349275,1.4763582458333335,0.8074853624999999,0.7841884425,0.8244622224999999,0.9587366849999999,1.1047581100000001,1.4339250299999997,2.2533000325000003,2.163883538271605,2.2018283525,2.861635615
gyrus_coord2,3.1062877440993786,1.8852800819875775,1.559260495,1.3479284375,0.92547102,0.85637211625,0.93994393125,0.98913876375,1.12927941,1.560828505,2.29230915375,1.9983923024999999,2.56115114375,3.35906732795031
gyrus_left_closed_eyes,1.9956642599999999,1.4407878600000001,1.5220934050000001,1.2104844775,0.766571105,0.6757077200000001,1.0318376469135804,1.44015977,1.4395395950617285,1.3811560049999998,1.806996614814815,1.9087543160493827,1.7401950624999998,2.2381152725
gyrus_left_open,2.399787215,1.6169865924999995,1.15623367,1.1450620825,0.629493805,0.536205225,0.7425528795,0.8437146525000001,0.9287143350000001,1.2004160124999999,1.79411884,1.6300665620253167,1.8485042449999998,2.6975512299999997
gyrus_right_closed_eyes,1.8369839674999997,1.2695834975,1.4879337075,1.0912306775,0.6496186025,0.6920056650000002,1.0475846724999998,1.3772839000000001,1.3089004225,1.2119071025,1.7205003524999998,1.8958560150000001,1.6676615299999997,2.0462901525
gyrus_right_open,2.2219933574999997,1.4908619250000001,1.0973064775,1.0531728699999998,0.5386177249999999,0.57626167,0.7270785580246913,0.8098798275,0.8929010375,1.1074757075000001,1.5275632175,1.6526439777777777,1.7691432075000002,2.5343979075
image_angry,1.8784225219512194,1.21564296,1.0821946500000001,0.94448893,0.5234190200000001,0.45402729,0.6478850899999999,0.731136305,0.7063247,0.8371964349999999,1.45510645,1.49227302,1.7229525200000002,2.244730065
image_angry2,1.8069551750000001,1.1587072699999998,1.0460146700000001,0.9361543250000001,0.50031497,0.44802513658536586,0.6432037512195122,0.8141062099999999,0.766531155,0.8931139250000001,1.40201294,1.54494481,1.532267305,2.236129645
image_happiness,2.17810801,1.500887038333333,1.12595672,1.11435995,0.5473962849999999,0.5154677299999999,0.7092641658536586,0.82924256,0.79497664,1.110851525,1.81989905,1.765628665,2.116120495,2.26440531
image_happy_cute,2.233715765,1.2475402250000003,1.087657015,0.957798395,0.549978605,0.44507335000000003,0.65022348,0.8167117449999999,0.77963385,0.9750211149999999,1.4542630536585364,1.5094113799999997,1.7633254099999998,2.51090534
image_sad,1.764013855,1.27398485,1.0180402292682929,0.9636920390243902,0.5152600649999999,0.433944665,0.63887121,0.73511445,0.76267527,0.9562932149999999,1.47469804,1.4547749853658538,1.7589498,2.1787920499999998
image_sad2,1.80269933,1.2435476049999998,1.0024919449999998,0.9033220550000001,0.49334619999999996,0.45424653500000006,0.6840143000000001,0.7272176634146341,0.73326585,0.9386888350000001,1.2975117400000002,1.5080594299999999,1.6060448399999998,2.00951757
imagine_way_home,1.8655416650000003,1.4363768999999997,1.3648987625000002,1.1304347916666666,0.620728695,0.69300562125,1.0489484350000002,1.52673590125,1.4742669587500001,1.242168956521739,1.7952988211180123,2.101733325,1.87053914,2.25779647
occipital4,1.6226551712499997,1.16074305625,1.007380515,0.9177456557575757,0.5800106725,0.50991406625,0.6634387680981596,0.73154515375,0.9686735150000001,1.1022077449999998,1.49610674,1.60256406875,1.53574967625,1.858435116981132
parietal_2d_3d,1.8747031462500001,1.432501123076923,1.03977912,0.97595706875,0.44099042062500005,0.47701167625000007,0.5971559949999999,0.7568645962732918,0.84217525625,0.9050636387500001,1.6368571324999999,1.62594822875,2.0447222924999995,2.25112138375
parietal_next_in_seq,2.1450820871369296,1.4449431533333335,1.0104943666666668,0.8874121008333333,0.4604371808333333,0.4330979216666666,0.6298577161825726,0.7654178624999999,0.8131549866666667,0.8972802383333333,1.5608815533333333,1.5391441083333333,2.048888717842323,2.4646872833333338
parietal_next_in_seq2,2.1936578983333335,1.4456377574999997,1.1465976158333333,0.8718193725000001,0.47946401666666666,0.4829138946058091,0.6136934066390041,0.7830799933333334,0.8153944741666667,0.9809429658333333,1.5714102315352698,1.645858313333333,2.0246176583333333,2.507174234024897
prefrontal1,2.4110945075,1.52609952125,1.1840819325,1.1704720725,0.562635575,0.4552933440993788,0.69611310625,0.76291124,0.9209674925,1.1092377724999998,1.5005598712500001,1.582738264968153,1.6479048349999998,2.7661402347826085
prefrontal2,2.4805285762500002,1.4161136925000002,1.13550033,1.0628877275,0.5262363087499999,0.43994634874999994,0.6101357714285714,0.69791122375,0.84630837625,1.0474310762499999,1.36887865375,1.5903555600000001,1.4652595575,2.2890836424999996
prefrontal3_reading,3.7243883087499996,2.42777039375,1.7461521462499998,1.6856868875,1.0187639225,0.94372337875,0.9464705826086955,0.9648224062499999,1.2816242525,1.689625195,2.5217870475,2.3442958812500003,2.628893665,3.933811081249999
saying_words_based_on_cat,5.1863393449999995,3.2935695749999994,1.9180137,1.8838362375000002,1.0300053394190871,0.947857555,1.0517800550000003,1.2403991900000002,1.50586007,1.6877917100000002,2.7427782274999997,2.8414926475,3.3637073575,5.643608435
saying_words_based_on_cat2,4.5341086025,3.3289906325000005,2.0068894549999996,1.9552376125,1.10536341,1.077629445,1.0831190543209874,1.2475355725000001,1.5360020925,1.787068085,2.9562270197530864,2.7607205234567904,3.7163676374999994,6.148440305
temporal_how_many_instruments1,1.8355118697247712,1.541242309090909,1.5710679229357796,1.2418867218181817,0.8115124073394494,0.8558672563636364,1.3812584037037037,1.6359424619469027,1.3525516277777778,1.3655247963302752,1.9095685054545453,2.192760392792793,1.7960045819819819,2.19144834159292
temporal_how_many_instruments2,1.825387087878788,1.4766932705882352,1.5148920676470587,1.3121107090909092,0.706071409090909,0.7875286176470587,1.2374053515151515,1.6714470696969699,1.4359913848484849,1.3955823272727275,1.876854090909091,2.1847705909090904,1.8373801515151515,2.1949164272727275
temporal_how_many_instruments3,1.8242377369863014,1.374336282666667,1.5183839671232877,1.233689490410959,0.6843212328767122,0.7447274630136986,1.3416660273972603,1.6772157,1.543159893150685,1.3891769753424659,1.9233023287671234,2.030430052777778,1.691511890410959,2.079026304109589
temporal_how_many_instruments4,1.7103809870370372,1.211431449090909,1.4205488833333333,1.138355862962963,0.6443162444444444,0.7122957779816513,1.283224594495413,1.705434436697248,1.5131454108108109,1.31584031559633,1.8666022788990824,1.991374537614679,1.6099805722222222,1.879787398148148
valdo1,2.2004375689981095,1.6335971237499998,1.2076909983333337,1.0763750533333334,0.6100084550000002,0.56226012,0.8179876083333332,0.9715485916824196,1.0440122727272727,1.273461268333333,1.77863663,1.804828548333333,2.3035066916666667,2.5892882198347107
valdo2,2.0894524683333335,1.7142272149999997,1.1495862466666666,1.1437639025,0.6536638633333334,0.5732816066115702,0.7600274083333334,0.9658949925,1.063927717355372,1.3054730633333334,2.008075335,1.9793629383333335,2.3371025383333333,2.4044062533333337
valdo3,1.8779164333333334,1.4515074562500003,1.1739391256198348,1.079059145341615,0.6738537033333333,0.5494360366666667,0.7808899383333333,0.9399896899999998,1.008848596694215,1.2196588892561984,1.8181425050000002,1.8468818892561987,1.9907075891304349,2.23337082
